GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BDP001
G0100010,1930,Alabama,10,Autauga,10,Autauga,19694
G0100010,1940,Alabama,10,Autauga,10,Autauga,20977
G0100010,1950,Alabama,10,Autauga,10,Autauga,18186
G0100010,1820,Alabama,10,Autauga,10,Autauga,3853
G0100010,1830,Alabama,10,Autauga,10,Autauga,11874
G0100010,1840,Alabama,10,Autauga,10,Autauga,14342
G0100010,1850,Alabama,10,Autauga,10,Autauga,15023
G0100010,1860,Alabama,10,Autauga,10,Autauga,16739
G0100010,1870,Alabama,10,Autauga,10,Autauga,11623
G0100010,1880,Alabama,10,Autauga,10,Autauga,13108
G0100010,1890,Alabama,10,Autauga,10,Autauga,13330
G0100010,1900,Alabama,10,Autauga,10,Autauga,17915
G0100010,1910,Alabama,10,Autauga,10,Autauga,20038
G0100010,1920,Alabama,10,Autauga,10,Autauga,18908
G0100010,1930,Alabama,10,Autauga,10,Autauga,19694
G0100010,1940,Alabama,10,Autauga,10,Autauga,20977
G0100010,1950,Alabama,10,Autauga,10,Autauga,18186
G0100010,1960,Alabama,10,Autauga,10,Autauga,18739
G0100010,1970,Alabama,1,Autauga,1,Autauga,24460
G0100010,1980,Alabama,1,Autauga,1,AUTAUGA COUNTY,32259
G0100010,1990,Alabama,1,Autauga,1,Autauga County,34222
G0100010,2000,Alabama,1,Autauga,1,Autauga County,43671
G0100010,2010,Alabama,1,Autauga County,1,Autauga County,54571
G0100015,1870,Alabama,10,Baker,15,Baker,6194
G0100030,1930,Alabama,10,Baldwin,30,Baldwin,28289
G0100030,1940,Alabama,10,Baldwin,30,Baldwin,32324
G0100030,1950,Alabama,10,Baldwin,30,Baldwin,40997
G0100030,1820,Alabama,10,Baldwin,30,Baldwin,1713
G0100030,1830,Alabama,10,Baldwin,30,Baldwin,2324
G0100030,1840,Alabama,10,Baldwin,30,Baldwin,2951
G0100030,1850,Alabama,10,Baldwin,30,Baldwin,4414
G0100030,1860,Alabama,10,Baldwin,30,Baldwin,7530
G0100030,1870,Alabama,10,Baldwin,30,Baldwin,6004
G0100030,1880,Alabama,10,Baldwin,30,Baldwin,8603
G0100030,1890,Alabama,10,Baldwin,30,Baldwin,8941
G0100030,1900,Alabama,10,Baldwin,30,Baldwin,13194
G0100030,1910,Alabama,10,Baldwin,30,Baldwin,18178
G0100030,1920,Alabama,10,Baldwin,30,Baldwin,20730
G0100030,1930,Alabama,10,Baldwin,30,Baldwin,28289
G0100030,1940,Alabama,10,Baldwin,30,Baldwin,32324
G0100030,1950,Alabama,10,Baldwin,30,Baldwin,40997
G0100030,1960,Alabama,10,Baldwin,30,Baldwin,49088
G0100030,1970,Alabama,1,Baldwin,3,Baldwin,59382
G0100030,1980,Alabama,1,Baldwin,3,BALDWIN COUNTY,78556
G0100030,1990,Alabama,1,Baldwin,3,Baldwin County,98280
G0100030,2000,Alabama,1,Baldwin,3,Baldwin County,140415
G0100030,2010,Alabama,1,Baldwin County,3,Baldwin County,182265
G0100050,1930,Alabama,10,Barbour,50,Barbour,32425
G0100050,1940,Alabama,10,Barbour,50,Barbour,32722
G0100050,1950,Alabama,10,Barbour,50,Barbour,28892
G0100050,1840,Alabama,10,Barbour,50,Barbour,12024
G0100050,1850,Alabama,10,Barbour,50,Barbour,23632
G0100050,1860,Alabama,10,Barbour,50,Barbour,30812
G0100050,1870,Alabama,10,Barbour,50,Barbour,29309
G0100050,1880,Alabama,10,Barbour,50,Barbour,33979
G0100050,1890,Alabama,10,Barbour,50,Barbour,34898
G0100050,1900,Alabama,10,Barbour,50,Barbour,35152
G0100050,1910,Alabama,10,Barbour,50,Barbour,32728
G0100050,1920,Alabama,10,Barbour,50,Barbour,32067
G0100050,1930,Alabama,10,Barbour,50,Barbour,32425
